actor_lr,actor_opt,cost_eps,strike,critic_lr,critic_opt,critic_update,eval_num_paths,initial_price,model,mu,num_days,num_trading_days,seed,sigma,train_num_paths,train_steps,utility_lambda,test/best,test/bs_utility,test/utility,train/actor_loss,train/critic_loss
0.001,radam,0,0.95,None,None,vanilla,16,100,vanilla,0,10,30,1295890448,0.2,16,2000,0.1,-7.215316772,-7.513712883,-7.251940727,7.688671112,
0.001,radam,0,0.95,None,None,vanilla,16,100,vanilla,0,10,30,623440079,0.2,16,2000,0.1,-7.354511261,-7.513712883,-7.445476532,7.273206234,
0.001,radam,0,0.95,None,None,vanilla,16,100,vanilla,0,10,30,2035691052,0.2,16,2000,0.1,-7.260621071,-7.513712883,-7.297373295,8.046813011,
0.001,radam,0,0.95,0.01,adam,expected,16,100,actor_critic,0,10,30,1776499889,0.2,16,2000,0.1,-7.778673172,-7.513712883,-7.882810116,6998.404785,581.7477417
0.001,radam,0,0.95,0.01,adam,expected,16,100,actor_critic,0,10,30,1189185057,0.2,16,2000,0.1,-7.29262352,-7.513712883,-8.01647377,3687.874756,281.8909302
0.001,radam,0,0.95,0.01,adam,expected,16,100,actor_critic,0,10,30,2441524775,0.2,16,2000,0.1,-7.527234554,-7.513712883,-8.055921555,3678.212646,328.6076355
0.001,radam,0,0.95,0.01,adam,distributional,16,100,actor_critic,0,10,30,134117753,0.2,16,2000,0.1,-7.383306503,-7.513712883,-8.275436401,3215.307129,216.3987122
0.001,radam,0,0.95,0.01,adam,distributional,16,100,actor_critic,0,10,30,1498164396,0.2,16,2000,0.1,-7.613495827,-7.513712883,-7.817297935,9849.720703,611.0913086
0.001,radam,0,0.95,0.01,adam,distributional,16,100,actor_critic,0,10,30,2057014442,0.2,16,2000,0.1,-7.540843487,-7.513712883,-7.67087841,9893.056641,612.2281494
0.001,radam,0,1,None,None,vanilla,16,100,vanilla,0,10,30,2980840230,0.2,16,2000,0.1,-4.467153072,-4.415064812,-4.467153072,5.838520527,
0.001,radam,0,1,None,None,vanilla,16,100,vanilla,0,10,30,2468570955,0.2,16,2000,0.1,-4.304522514,-4.415064812,-4.425446033,4.78798914,
0.001,radam,0,1,None,None,vanilla,16,100,vanilla,0,10,30,3107862872,0.2,16,2000,0.1,-4.057483196,-4.415064812,-4.204746246,5.455856323,
0.001,radam,0,1,0.01,adam,expected,16,100,actor_critic,0,10,30,1873257998,0.2,16,2000,0.1,-4.186463356,-4.415064812,-4.259405136,11809.45117,1278.697632
0.001,radam,0,1,0.01,adam,expected,16,100,actor_critic,0,10,30,2400283990,0.2,16,2000,0.1,-4.26928091,-4.415064812,-4.405847073,4567.355469,449.0049438
0.001,radam,0,1,0.01,adam,expected,16,100,actor_critic,0,10,30,267933897,0.2,16,2000,0.1,-4.373553276,-4.415064812,-4.392931938,8511.635742,690.97052
0.001,radam,0,1,0.01,adam,distributional,16,100,actor_critic,0,10,30,3878154799,0.2,16,2000,0.1,-3.870510817,-4.415064812,-4.414134026,7822.068848,694.4637451
0.001,radam,0,1,0.01,adam,distributional,16,100,actor_critic,0,10,30,3215051902,0.2,16,2000,0.1,-4.25199461,-4.415064812,-4.576211452,3006.473389,246.1252747
0.001,radam,0,1,0.01,adam,distributional,16,100,actor_critic,0,10,30,161099832,0.2,16,2000,0.1,-4.075201511,-4.415064812,-4.181318283,12340.3584,1104.861938
0.001,radam,0,1.05,None,None,vanilla,16,100,vanilla,0,10,30,1327560560,0.2,16,2000,0.1,-3.11974144,-2.768465996,-3.120211124,2.547173977,
0.001,radam,0,1.05,None,None,vanilla,16,100,vanilla,0,10,30,1307767281,0.2,16,2000,0.1,-2.788729429,-2.768465996,-2.807261705,2.072735071,
0.001,radam,0,1.05,None,None,vanilla,16,100,vanilla,0,10,30,3081439808,0.2,16,2000,0.1,-2.866950035,-2.768465996,-3.102412224,2.910425425,
0.001,radam,0,1.05,0.01,adam,expected,16,100,actor_critic,0,10,30,3593294047,0.2,16,2000,0.1,-2.768203735,-2.768465996,-2.836051464,5625.313477,664.8300781
0.001,radam,0,1.05,0.01,adam,expected,16,100,actor_critic,0,10,30,2504117770,0.2,16,2000,0.1,-2.653726578,-2.768465996,-2.656481028,9545.72168,1281.613159
0.001,radam,0,1.05,0.01,adam,expected,16,100,actor_critic,0,10,30,4244424418,0.2,16,2000,0.1,-2.630569696,-2.768465996,-2.655221224,67737.24219,6000.071289
0.001,radam,0,1.05,0.01,adam,distributional,16,100,actor_critic,0,10,30,1013705573,0.2,16,2000,0.1,-2.57022357,-2.768465996,-2.57022357,23317.60742,2119.514893
0.001,radam,0,1.05,0.01,adam,distributional,16,100,actor_critic,0,10,30,580205303,0.2,16,2000,0.1,-2.649965525,-2.768465996,-2.695102692,16210.21582,1626.004272
0.001,radam,0,1.05,0.01,adam,distributional,16,100,actor_critic,0,10,30,4249105090,0.2,16,2000,0.1,-2.713878632,-2.768465996,-2.771856546,12394.93652,1478.545288
0.001,radam,0.002,0.95,None,None,vanilla,16,100,vanilla,0,10,30,2448734646,0.2,16,2000,0.1,-7.586786747,-7.996182919,-7.679152012,7.944603443,
0.001,radam,0.002,0.95,None,None,vanilla,16,100,vanilla,0,10,30,348376058,0.2,16,2000,0.1,-7.456678391,-7.996182919,-7.663748741,7.565937042,
0.001,radam,0.002,0.95,None,None,vanilla,16,100,vanilla,0,10,30,1419667174,0.2,16,2000,0.1,-7.765349388,-7.996182919,-7.861330509,7.969780922,
0.001,radam,0.002,0.95,0.01,adam,expected,16,100,actor_critic,0,10,30,1824290489,0.2,16,2000,0.1,-8.031445503,-7.996182919,-8.321166992,2650.273682,196.9545593
0.001,radam,0.002,0.95,0.01,adam,expected,16,100,actor_critic,0,10,30,4272408077,0.2,16,2000,0.1,-7.508294582,-7.996182919,-8.10905838,10791.77344,622.0291138
0.001,radam,0.002,0.95,0.01,adam,expected,16,100,actor_critic,0,10,30,1398375548,0.2,16,2000,0.1,-7.78689909,-7.996182919,-8.182767868,7663.683105,454.2566528
0.001,radam,0.002,0.95,0.01,adam,distributional,16,100,actor_critic,0,10,30,3818513658,0.2,16,2000,0.1,-7.737299919,-7.996182919,-8.800989151,2496.576904,185.7213135
0.001,radam,0.002,0.95,0.01,adam,distributional,16,100,actor_critic,0,10,30,3667969190,0.2,16,2000,0.1,-7.654401779,-7.996182919,-8.279666901,5341.265137,270.7817383
0.001,radam,0.002,0.95,0.01,adam,distributional,16,100,actor_critic,0,10,30,3851442698,0.2,16,2000,0.1,-7.907392502,-7.996182919,-8.985753059,4284.618164,271.0100708
0.001,radam,0.002,1,None,None,vanilla,16,100,vanilla,0,10,30,4281868934,0.2,16,2000,0.1,-4.73997736,-4.836078644,-5.0090065,4.799298286,
0.001,radam,0.002,1,None,None,vanilla,16,100,vanilla,0,10,30,4030196172,0.2,16,2000,0.1,-4.643164635,-4.836078644,-4.725579739,4.724113941,
0.001,radam,0.002,1,None,None,vanilla,16,100,vanilla,0,10,30,1888259215,0.2,16,2000,0.1,-4.695047379,-4.836078644,-4.833300591,4.36915493,
0.001,radam,0.002,1,0.01,adam,expected,16,100,actor_critic,0,10,30,3784581555,0.2,16,2000,0.1,-4.674203873,-4.836078644,-4.760931015,7696.176758,609.8440552
0.001,radam,0.002,1,0.01,adam,expected,16,100,actor_critic,0,10,30,398332362,0.2,16,2000,0.1,-4.671273708,-4.836078644,-4.892415047,8691.104492,661.8736572
0.001,radam,0.002,1,0.01,adam,expected,16,100,actor_critic,0,10,30,555401847,0.2,16,2000,0.1,-4.776445389,-4.836078644,-4.968898773,7068.990723,561.1430054
0.001,radam,0.002,1,0.01,adam,distributional,16,100,actor_critic,0,10,30,2551650142,0.2,16,2000,0.1,-4.59783268,-4.836078644,-4.881018162,10378.59375,843.2322388
0.001,radam,0.002,1,0.01,adam,distributional,16,100,actor_critic,0,10,30,2513214051,0.2,16,2000,0.1,-4.423602104,-4.836078644,-4.957406521,6299.792969,574.6229858
0.001,radam,0.002,1,0.01,adam,distributional,16,100,actor_critic,0,10,30,3133990731,0.2,16,2000,0.1,-4.502878666,-4.836078644,-4.834622383,7859.009277,611.2208252
0.001,radam,0.002,1.05,None,None,vanilla,16,100,vanilla,0,10,30,3007081222,0.2,16,2000,0.1,-3.343116045,-3.090497494,-3.385856628,2.488901377,
0.001,radam,0.002,1.05,None,None,vanilla,16,100,vanilla,0,10,30,4150151047,0.2,16,2000,0.1,-3.063335657,-3.090497494,-3.140028477,3.390103579,
0.001,radam,0.002,1.05,None,None,vanilla,16,100,vanilla,0,10,30,561024990,0.2,16,2000,0.1,-3.23662281,-3.090497494,-3.347773314,3.145233631,
0.001,radam,0.002,1.05,0.01,adam,expected,16,100,actor_critic,0,10,30,2655664254,0.2,16,2000,0.1,-2.839249611,-3.090497494,-3.044780493,8305.027344,886.8818359
0.001,radam,0.002,1.05,0.01,adam,expected,16,100,actor_critic,0,10,30,2783584603,0.2,16,2000,0.1,-2.984975338,-3.090497494,-3.102556467,4759.997559,748.0540161
0.001,radam,0.002,1.05,0.01,adam,expected,16,100,actor_critic,0,10,30,4269260147,0.2,16,2000,0.1,-2.940672398,-3.090497494,-3.054702282,35880.19922,3058.928467
0.001,radam,0.002,1.05,0.01,adam,distributional,16,100,actor_critic,0,10,30,550553097,0.2,16,2000,0.1,-2.790858746,-3.090497494,-3.005117893,23873.20898,2318.042236
0.001,radam,0.002,1.05,0.01,adam,distributional,16,100,actor_critic,0,10,30,1367318865,0.2,16,2000,0.1,-3.111541033,-3.090497494,-3.226338625,15787.97363,1595.269165
0.001,radam,0.002,1.05,0.01,adam,distributional,16,100,actor_critic,0,10,30,2499673988,0.2,16,2000,0.1,-2.870720625,-3.090497494,-3.035336018,33334.28906,3068.712158